gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5935907482	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/308187135	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Sumatera Barat	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-2.126773	101.289067	31441.0						2025-08-22T14:46:05	22	8	2025	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	308187135		CaracalShan	2025-09-16T13:55:37	CC_BY_4_0	CaracalShan	CaracalShan			2026-05-19T13:59:45.518Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5282202488	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/299410281	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.346104	115.208882	31287.0						2023-10-17T06:36	17	10	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	299410281		Ibnu Azzam	2025-07-20T05:33:06	CC_BY_NC_4_0	Ali	Ali			2026-05-19T14:00:10.734Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5231413760	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/299182490	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.782077	115.573595	31271.0						2025-07-12T10:27:01	12	7	2025	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	299182490		Ibnu Azzam	2025-07-20T05:33:50	CC_BY_NC_4_0	thfcsf	thfcsf			2026-05-19T14:07:48.114Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5230727535	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297190137	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.703093	115.419645	31271.0						2025-07-11T16:27:45	11	7	2025	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	297190137		brain	2025-07-15T22:19:33	CC_BY_NC_4_0	Peri Lee Pipkin	Peri Lee Pipkin			2026-05-19T13:32:06.406Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5176757976	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/284852826	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Jawa Barat	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-7.659186	108.683839	31310.0						2025-05-24T10:38	24	5	2025	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	284852826		Ibnu Azzam	2025-05-30T05:28:32	CC_BY_NC_4_0	jj	jj			2026-05-19T14:16:36.830Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5176642237	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/284852840	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Jawa Barat	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-7.762707	108.606636	31310.0						2025-05-24T10:56	24	5	2025	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	284852840		Ibnu Azzam	2025-05-30T05:28:20	CC_BY_NC_4_0	jj	jj			2026-05-19T14:03:15.202Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5166873878	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/281306656	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Nusa Tenggara Timur	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.60629	119.736805	31271.0						2025-05-03T07:42	3	5	2025	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	281306656		Ibnu Azzam	2025-05-16T02:02:59	CC_BY_4_0	Piotr Lukasik	Piotr Lukasik			2026-05-19T13:58:27.174Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4891053135	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/272814310	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Bali	Bali	PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.830745	115.216907	25.0						2023-05-14	14	5	2023	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 306891			2026-04-30T14:24:49.776Z	StillImage	
4890004371	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/269640295	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Bali	Bali	PRESENT	400	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.520183	115.256508	25.0						2023-04-30	30	4	2023	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 306891			2026-04-30T14:29:02.191Z	StillImage	
4884867774	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/280293653	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Bali	Bali	PRESENT	100	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.84	115.08	1000.0						2023-07-13	13	7	2023	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 59192			2026-04-30T14:24:58.899Z		
4884802700	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/208443239	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Rinca		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.658062	119.72047	50.0						2017-10-20	20	10	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 255548			2026-04-30T14:34:49.053Z	StillImage	
4884352866	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/271312695	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Gunung Rinjani NP	Nusa Tenggara Barat	PRESENT	5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.300391	116.408596	35.0						2023-05-12	12	5	2023	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 306891			2026-04-30T14:34:48.530Z	StillImage	
4600055169	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185878563	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.793712	115.545236	31271.0						2023-10-02T12:06:38	2	10	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	185878563		Michał Górski	2023-10-02T09:08:39	CC_BY_NC_4_0	Michał Górski	Michał Górski			2026-05-19T14:01:22.054Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4600036205	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184860951	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.484896	115.303541	31279.0						2023-09-25T14:30:49	25	9	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	184860951		Michał Górski	2023-09-25T13:42:18	CC_BY_NC_4_0	Michał Górski	Michał Górski			2026-05-19T14:08:28.869Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4599946223	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185021904	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.549019	115.357533	31279.0						2023-09-26T11:41:07	26	9	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	185021904		Michał Górski	2023-09-26T16:19:28	CC_BY_NC_4_0	Michał Górski	Michał Górski			2026-05-19T13:42:32.374Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4599945185	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185023848	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.537162	115.326211	31279.0						2023-09-26T16:05:10	26	9	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	185023848		Michał Górski	2023-09-26T16:34:20	CC_BY_NC_4_0	Michał Górski	Michał Górski			2026-05-19T14:01:34.665Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4506201157	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186251856	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.47964	115.232434	31279.0						2023-04-30T16:05	30	4	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	186251856		J.W.Baker	2023-10-05T06:10:28	CC_BY_NC_4_0	J.W.Baker	J.W.Baker			2026-05-19T13:27:18.214Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4156267988	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/259797089	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Bali	Bali	PRESENT	10	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.276525	115.149083	25.0						2022-09-25	25	9	2022	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 11737			2026-04-30T14:32:02.454Z	StillImage	
4127027926	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/162081852	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.50997	115.262867	31279.0						2023-05-17T11:14:53	17	5	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	162081852		Andreas Christian Yudhistira	2023-05-17T06:36:17	CC_BY_NC_4_0	jdrosoff	jdrosoff			2026-05-19T13:26:14.932Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
